HomeTeam,VisitorTeam,VisitorPointsScoredAverage,VisitorScheduleStrength,VisitorPointsAllowedAverage,HomePointsScoredAverage,HomeScheduleStrength,HomePointsAllowedAverage,HomeTeamGameScore,VisitorTeamGameScore,Spread,HomeTeamBeatSpread
Cleveland,Buffalo,22,21.135,23.25,16,21.2525,17.5,37,24,-4.5,W
Tennessee,KansasCity,25.5,13.585,10.25,24.5,18.3425,17.25,17,26,2.5,L
Miami,Baltimore,22.75,22.055,21.75,22.75,24.145,22.75,23,26,-2.5,L
StLouis,Jacksonville,7.75,22.175,32.25,17.25,20.1775,30.25,34,20,-11.5,W
Cincinnati,NewEngland,22.25,17.825,14.25,20.25,19.89,20.25,13,6,-1,W
Indianapolis,Seattle,30,17,11.75,26.25,14.8225,12.75,34,28,2.5,W
GreenBay,Detroit,30.5,18.655,25.25,32,20.3,29.33333333,22,9,-7.5,W
Chicago,NewOrleans,27,17.5225,13.75,31.75,18.975,28.5,18,26,0,L
NewYorkGiants,Philadelphia,24.75,22.6725,34.5,15.25,25.58,36.5,21,36,-2.5,L
Oakland,SanDiego,27,20.43,25.5,17.75,18.525,22.75,27,17,5,W
Dallas,Denver,44.75,15.09,22.75,26,17.48,21.25,48,51,7.5,W
SanFrancisco,Houston,22.5,23.9525,26.25,19.75,22.3325,23.75,34,3,-5,W
Atlanta,NewYorkJets,17,21.105,22,23.5,22.37,26,28,30,-9.5,L
Chicago,NewYorkGiants,16.4,23.224,36.4,29,20.352,28,27,21,-8,L
KansasCity,Oakland,19.6,18.122,21.6,25.6,15.698,11.6,24,7,-8,W
TampaBay,Philadelphia,27,20.992,31.8,11,22.5525,17.5,20,31,1.5,L
Baltimore,GreenBay,29.5,21.6525,24.25,23.4,21.966,22,17,19,2.5,W
Cleveland,Detroit,26.2,21.408,24.6,20.2,20.026,18.8,17,31,2.5,L
Minnesota,Carolina,18.5,18.4825,14.5,28.75,20.145,30.75,10,35,-2.5,L
Houston,StLouis,20.6,16.938,28.2,18.6,23.596,27.8,13,38,-7.5,L
NewYorkJets,Pittsburgh,17.25,19.7525,27.5,19.6,20.3,23.2,6,19,-1,L
Buffalo,Cincinnati,18.8,20.738,17.4,22.4,20.29,26,24,27,7.5,W
Seattle,Tennessee,23,17.84,19,29.6,18.994,16.2,20,13,-13,L
Denver,Jacksonville,10.2,21.766,32.6,46,17.424,27.8,35,19,-27,L
SanFrancisco,Arizona,18.2,20.206,19,22.6,21.296,19.6,32,20,-11.5,W
NewEngland,NewOrleans,26.8,18.664,14.6,19,19.206,14,30,27,-2,W
Dallas,Washington,22.75,20.3625,28,30.4,18.49,27.2,31,16,-6,W
SanDiego,Indianapolis,27.8,17.662,15.8,25,19.588,25.8,19,9,1,W
Arizona,Seattle,28,18.33666667,15.66666667,18.5,22.17,21.16666667,22,34,6.5,L
NewYorkJets,NewEngland,20.83333333,19.355,16.16666667,17.33333333,18.86166667,22.5,30,27,4,W
Jacksonville,SanDiego,24,19.46833333,23,11.66666667,23.46166667,33,6,24,7.5,L
